,",0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28"
584,"584,I,0.2250879249706917,0.22157092614302462,0.21453692848769051,0.24384525205158264,0.2508792497069168,0.24501758499413834,0.24150058616647127,0.305978898007034,0.26025791324736225,0.25791324736225085,0.2391559202813599,0.2508792497069168,0.25908558030480655,0.26143024618991795,0.27432590855803046,0.24501758499413834,0.37514654161781946,0.23563892145369286,0.2403282532239156,0.24970691676436108,0.2403282532239156,0.22626025791324736,0.8675263774912075,0.8522860492379836,0.0,,,"
585,"585,J,0.22977725674091443,0.2227432590855803,0.21922626025791325,0.24150058616647127,0.2309495896834701,0.24501758499413834,0.24501758499413834,0.23798358733880423,0.24384525205158264,0.26143024618991795,0.26025791324736225,0.2403282532239156,0.2661195779601407,0.2555685814771395,0.25205158264947247,0.26260257913247365,0.26025791324736225,0.22977725674091443,0.26260257913247365,0.22860492379835873,0.2532239155920281,0.22157092614302462,0.8909730363423212,0.8475967174677609,0.0,,,"
586,"586,K,0.22626025791324736,0.20867526377491208,0.24970691676436108,0.2532239155920281,0.2508792497069168,0.23681125439624853,0.2063305978898007,0.27432590855803046,0.2719812426729191,0.23681125439624853,0.268464243845252,0.23798358733880423,0.2555685814771395,0.28604923798358733,0.2567409144196952,0.2508792497069168,0.2473622508792497,0.23681125439624853,0.2543962485345838,0.22157092614302462,0.246189917936694,0.2391559202813599,0.9050410316529894,0.8558030480656507,0.0,,,"
587,"587,L,0.22860492379835873,0.21922626025791325,0.2309495896834701,0.24150058616647127,0.2391559202813599,0.25205158264947247,0.24150058616647127,0.25791324736225085,0.2661195779601407,0.24384525205158264,0.26143024618991795,0.26143024618991795,0.26260257913247365,0.25908558030480655,0.24970691676436108,0.2403282532239156,0.2543962485345838,0.2473622508792497,0.23446658851113716,0.2543962485345838,0.24384525205158264,0.23446658851113716,0.9167643610785463,0.8405627198124267,0.0,,,"
588,"588,M,0.223915592028136,0.1969519343493552,0.23563892145369286,0.23329425556858147,0.2309495896834701,0.2508792497069168,0.25205158264947247,0.264947245017585,0.24267291910902697,0.25205158264947247,0.2719812426729191,0.246189917936694,0.26143024618991795,0.2309495896834701,0.2321219226260258,0.2555685814771395,0.2309495896834701,0.24384525205158264,0.24384525205158264,0.25205158264947247,0.23563892145369286,0.23681125439624853,0.8909730363423212,0.8640093786635404,0.0,,,"
589,"589,N,0.19577960140679954,0.20398593200468934,0.20867526377491208,0.22860492379835873,0.23563892145369286,0.24267291910902697,0.23329425556858147,0.24267291910902697,0.25908558030480655,0.2250879249706917,0.25791324736225085,0.223915592028136,0.25205158264947247,0.2508792497069168,0.25791324736225085,0.23329425556858147,0.22039859320046892,0.2391559202813599,0.20867526377491208,0.2250879249706917,0.24150058616647127,0.22977725674091443,0.9484173505275498,0.8640093786635404,0.0,,,"
590,"590,O,0.20281359906213364,0.21922626025791325,0.22626025791324736,0.21688159437280188,0.2309495896834701,0.22626025791324736,0.22977725674091443,0.246189917936694,0.23446658851113716,0.24501758499413834,0.2508792497069168,0.23329425556858147,0.2532239155920281,0.24267291910902697,0.2309495896834701,0.22743259085580306,0.2391559202813599,0.33294255568581477,0.23563892145369286,0.26143024618991795,0.2321219226260258,0.2227432590855803,0.9120750293083235,0.9015240328253223,0.0,,,"
591,"591,P,0.19460726846424384,0.20398593200468934,0.21688159437280188,0.21688159437280188,0.21805392731535755,0.23798358733880423,0.21922626025791325,0.23329425556858147,0.2321219226260258,0.2227432590855803,0.2309495896834701,0.23681125439624853,0.22860492379835873,0.22977725674091443,0.2485345838218054,0.2321219226260258,0.21922626025791325,0.22977725674091443,0.22743259085580306,0.22743259085580306,0.2250879249706917,0.21688159437280188,0.9953106682297772,0.9237983587338804,0.0,,,"
592,"592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
593,"593,Plate information ,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
594,"594,Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Formula,Measurement date,,,,,,,,,,,,,,,,,"
595,"595,12,1,H2060272,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Calc 1: Z' = 1 - ((3 * SD(High) + 3 * SD(Low)) / Abs(Avg(High) - Avg(Low))) where Label: Jez US LUM 384 (cps)(1) channel 1  High = Z_High  Low = Z_Low,3/30/23 18:06,,,,,,,,,,,,,,,,,"
596,"596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
597,"597,Background information,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
598,"598,Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,,,,"
599,"599,12,Jez US LUM 384 (cps),0,8,0.1,00:00.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),,,,,,,,,,,,,,,,,,,,,,"
600,"600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
601,"601,Calculated results: Calc 1: Z' = 1 - ((3 * SD(High) + 3 * SD(Low)) / Abs(Avg(High) - Avg(Low))) where Label: Jez US LUM 384 (cps)(1) channel 1  High = Z_High  Low = Z_Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
602,"602,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,,,"
603,"603,A,0.476764571,0.476764571,,,,,,,,,,,,,,,,,,,,,0.476764571,0.476764571,,,,"
604,"604,B,0.476764571,0.476764571,,,,,,,,,,,,,,,,,,,,,0.476764571,0.476764571,,,,"
605,"605,C,0.476764571,0.476764571,,,,,,,,,,,,,,,,,,,,,0.476764571,0.476764571,,,,"
606,"606,D,0.476764571,0.476764571,,,,,,,,,,,,,,,,,,,,,0.476764571,0.476764571,,,,"
607,"607,E,0.476764571,0.476764571,,,,,,,,,,,,,,,,,,,,,0.476764571,0.476764571,,,,"
608,"608,F,0.476764571,0.476764571,,,,,,,,,,,,,,,,,,,,,0.476764571,0.476764571,,,,"
609,"609,G,0.476764571,0.476764571,,,,,,,,,,,,,,,,,,,,,0.476764571,0.476764571,,,,"
610,"610,H,0.476764571,0.476764571,,,,,,,,,,,,,,,,,,,,,0.476764571,0.476764571,,,,"
611,"611,I,0.476764571,0.476764571,,,,,,,,,,,,,,,,,,,,,0.476764571,0.476764571,,,,"
612,"612,J,0.476764571,0.476764571,,,,,,,,,,,,,,,,,,,,,0.476764571,0.476764571,,,,"
613,"613,K,0.476764571,0.476764571,,,,,,,,,,,,,,,,,,,,,0.476764571,0.476764571,,,,"
614,"614,L,0.476764571,0.476764571,,,,,,,,,,,,,,,,,,,,,0.476764571,0.476764571,,,,"
615,"615,M,0.476764571,0.476764571,,,,,,,,,,,,,,,,,,,,,0.476764571,0.476764571,,,,"
616,"616,N,0.476764571,0.476764571,,,,,,,,,,,,,,,,,,,,,0.476764571,0.476764571,,,,"
617,"617,O,0.476764571,0.476764571,,,,,,,,,,,,,,,,,,,,,0.476764571,0.476764571,,,,"
618,"618,P,0.476764571,0.476764571,,,,,,,,,,,,,,,,,,,,,0.476764571,0.476764571,,,,"
619,"619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
620,"620,Plate information ,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
621,"621,Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement date,,,,,,,,,,,,"
622,"622,12,1,H2060272,14.01,17.52,17.62,40.3,40,17.92,17.82,1,Jez US LUM 384 (cps)(1),0,0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0,3/30/23 18:06,,,,,,,,,,,,"
623,"623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
624,"624,Background information,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
625,"625,Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,,,,"
626,"626,12,Jez US LUM 384 (cps),0,8,0.1,00:00.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),,,,,,,,,,,,,,,,,,,,,,"
627,"627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
628,"628,Results for Jez US LUM 384 (cps)(1) - channel 0 (CPS),,,,,,,,,,,,,,,,,,,,,,,,,,,,"
629,"629,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,,,"
630,"630,A,0.18219461697722567,0.18012422360248448,0.18633540372670807,0.20186335403726707,0.20082815734989648,0.18840579710144928,0.19875776397515527,0.21428571428571427,0.21842650103519667,0.2246376811594203,0.21428571428571427,0.2153209109730849,0.2318840579710145,0.2163561076604555,0.2122153209109731,0.21014492753623187,0.20910973084886128,0.20186335403726707,0.19047619047619047,0.1997929606625259,0.18426501035196688,0.18840579710144928,0.7587991718426501,0.7184265010351967,0.0,,,"
631,"631,B,0.20082815734989648,0.2039337474120083,0.19358178053830227,0.2028985507246377,0.20910973084886128,0.18322981366459629,0.1997929606625259,0.2153209109730849,0.2277432712215321,0.2867494824016563,0.2080745341614907,0.21739130434782608,0.21842650103519667,0.2401656314699793,0.2401656314699793,0.21014492753623187,0.2122153209109731,0.2153209109730849,0.21325051759834368,0.2070393374741201,0.20600414078674947,0.20600414078674947,0.7080745341614907,0.7380952380952381,0.0,,,"
632,"632,C,0.1873706004140787,0.1915113871635611,0.18530020703933747,0.2122153209109731,0.2070393374741201,0.21842650103519667,0.2277432712215321,0.2080745341614907,0.2236024844720497,0.2246376811594203,0.21428571428571427,0.2287784679089027,0.21428571428571427,0.2225672877846791,0.2225672877846791,0.2236024844720497,0.21014492753623187,0.2318840579710145,0.1956521739130435,0.21842650103519667,0.18322981366459629,0.20186335403726707,0.7153209109730849,0.7556935817805382,0.0,,,"
633,"633,D,0.20186335403726707,0.19668737060041408,0.19358178053830227,0.2122153209109731,0.20910973084886128,0.2070393374741201,0.2163561076604555,0.20910973084886128,0.2329192546583851,0.22567287784679088,0.2194616977225673,0.2370600414078675,0.22153209109730848,0.2432712215320911,0.2360248447204969,0.20186335403726707,0.2329192546583851,0.2246376811594203,0.20910973084886128,0.19772256728778467,0.2070393374741201,0.2153209109730849,0.7215320910973085,0.8053830227743272,0.0,,,"
634,"634,E,0.21842650103519667,0.2277432712215321,0.2329192546583851,0.2267080745341615,0.2267080745341615,0.2349896480331263,0.2318840579710145,0.2494824016563147,0.2691511387163561,0.2484472049689441,0.2608695652173913,0.2608695652173913,0.2608695652173913,0.2567287784679089,0.2774327122153209,0.23395445134575568,0.2525879917184265,0.2546583850931677,0.2360248447204969,0.2463768115942029,0.2484472049689441,0.2277432712215321,0.8002070393374742,0.9285714285714286,0.0,,,"
635,"635,F,0.20910973084886128,0.2153209109730849,0.2401656314699793,0.2432712215320911,0.2412008281573499,0.2515527950310559,0.23809523809523808,0.2619047619047619,0.2629399585921325,0.2712215320910973,0.2722567287784679,0.2587991718426501,0.2546583850931677,0.2795031055900621,0.2629399585921325,0.2701863354037267,0.2287784679089027,0.2474120082815735,0.2422360248447205,0.23809523809523808,0.2246376811594203,0.2225672877846791,0.8457556935817805,0.943064182194617,0.0,,,"
636,"636,G,0.2039337474120083,0.2039337474120083,0.2277432712215321,0.2349896480331263,0.2360248447204969,0.2422360248447205,0.2463768115942029,0.2525879917184265,0.2422360248447205,0.2587991718426501,0.2463768115942029,0.2525879917184265,0.2536231884057971,0.2432712215320911,0.2670807453416149,0.2318840579710145,0.2194616977225673,0.2370600414078675,0.2360248447204969,0.2163561076604555,0.21739130434782608,0.22567287784679088,0.777432712215321,0.8623188405797102,0.0,,,"
637,"637,H,0.2080745341614907,0.19875776397515527,0.2070393374741201,0.22981366459627328,0.20496894409937888,0.2432712215320911,0.2432712215320911,0.2556935817805383,0.2505175983436853,0.2525879917184265,0.2650103519668737,0.2619047619047619,0.2391304347826087,0.2619047619047619,0.2463768115942029,0.2577639751552795,0.2391304347826087,0.2412008281573499,0.2494824016563147,0.2153209109730849,0.2153209109730849,0.22153209109730848,0.8343685300207039,0.8581780538302277,0.0,,,"
638,"638,I,0.19772256728778467,0.2163561076604555,0.23809523809523808,0.21739130434782608,0.23395445134575568,0.2287784679089027,0.2422360248447205,0.2474120082815735,0.2422360248447205,0.2577639751552795,0.2308488612836439,0.2494824016563147,0.23809523809523808,0.2505175983436853,0.2515527950310559,0.2432712215320911,0.2246376811594203,0.2453416149068323,0.2028985507246377,0.2246376811594203,0.2236024844720497,0.21325051759834368,0.8374741200828157,0.8167701863354038,0.0,,,"
639,"639,J,0.19772256728778467,0.2039337474120083,0.2070393374741201,0.2122153209109731,0.22567287784679088,0.2225672877846791,0.21739130434782608,0.2277432712215321,0.2546583850931677,0.2360248447204969,0.2370600414078675,0.2670807453416149,0.2432712215320911,0.2370600414078675,0.2484472049689441,0.20082815734989648,0.2349896480331263,0.2287784679089027,0.19358178053830227,0.20600414078674947,0.2122153209109731,0.2111801242236025,0.8457556935817805,0.839544513457557,0.0,,,"
640,"640,K,0.2122153209109731,0.21842650103519667,0.2153209109730849,0.21014492753623187,0.2267080745341615,0.2432712215320911,0.2401656314699793,0.2443064182194617,0.2556935817805383,0.2484472049689441,0.22567287784679088,0.2598343685300207,0.2598343685300207,0.2443064182194617,0.2391304347826087,0.2308488612836439,0.2422360248447205,0.2308488612836439,0.2277432712215321,0.21842650103519667,0.2163561076604555,0.2277432712215321,0.8923395445134575,0.8809523809523809,0.0,,,"
641,"641,L,0.20496894409937888,0.3695652173913043,0.2163561076604555,0.2163561076604555,0.2080745341614907,0.2204968944099379,0.2277432712215321,0.2453416149068323,0.2432712215320911,0.2412008281573499,0.2412008281573499,0.2536231884057971,0.2370600414078675,0.2463768115942029,0.2308488612836439,0.2236024844720497,0.2432712215320911,0.23395445134575568,0.2308488612836439,0.21739130434782608,0.2153209109730849,0.2204968944099379,0.9544513457556936,0.8954451345755694,0.0,,,"
642,"642,M,0.18840579710144928,0.2111801242236025,0.2122153209109731,0.19358178053830227,0.21842650103519667,0.2401656314699793,0.2453416149068323,0.2370600414078675,0.2246376811594203,0.2536231884057971,0.2401656314699793,0.1956521739130435,0.2349896480331263,0.2391304347826087,0.2463768115942029,0.2453416149068323,0.2267080745341615,0.2412008281573499,0.2111801242236025,0.2308488612836439,0.2039337474120083,0.2277432712215321,1.0,0.8095238095238095,0.0,,,"
643,"643,N,0.1956521739130435,0.20186335403726707,0.19875776397515527,0.2163561076604555,0.2246376811594203,0.2422360248447205,0.22153209109730848,0.20910973084886128,0.2308488612836439,0.2349896480331263,0.2318840579710145,0.2287784679089027,0.2236024844720497,0.2370600414078675,0.2028985507246377,0.2370600414078675,0.2204968944099379,0.2163561076604555,0.2204968944099379,0.20496894409937888,0.21428571428571427,0.2039337474120083,0.855072463768116,0.8861283643892339,0.0,,,"
644,"644,O,0.1873706004140787,0.19254658385093168,0.2039337474120083,0.20186335403726707,0.21842650103519667,0.21842650103519667,0.2236024844720497,0.2225672877846791,0.21325051759834368,0.2287784679089027,0.2287784679089027,0.2277432712215321,0.2318840579710145,0.22567287784679088,0.23395445134575568,0.22153209109730848,0.2163561076604555,0.20600414078674947,0.2122153209109731,0.2225672877846791,0.2080745341614907,0.2028985507246377,0.8695652173913043,0.8623188405797102,0.0,,,"
645,"645,P,0.17701863354037267,0.20082815734989648,0.21014492753623187,0.21739130434782608,0.20910973084886128,0.20082815734989648,0.20496894409937888,0.21014492753623187,0.2070393374741201,0.20186335403726707,0.21428571428571427,0.2153209109730849,0.2204968944099379,0.20496894409937888,0.2153209109730849,0.2204968944099379,0.2111801242236025,0.21325051759834368,0.2080745341614907,0.20600414078674947,0.20496894409937888,0.18840579710144928,0.8975155279503105,0.9989648033126294,0.0,,,"
646,"646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
647,"647,Plate information ,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
648,"648,Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Formula,Measurement date,,,,,,,,,,,,,,,,,"
649,"649,13,1,H2060226,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Calc 1: Z' = 1 - ((3 * SD(High) + 3 * SD(Low)) / Abs(Avg(High) - Avg(Low))) where Label: Jez US LUM 384 (cps)(1) channel 1  High = Z_High  Low = Z_Low,3/30/23 18:07,,,,,,,,,,,,,,,,,"
650,"650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
651,"651,Background information,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
652,"652,Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,,,,"
653,"653,13,Jez US LUM 384 (cps),0,8,0.1,00:00.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),,,,,,,,,,,,,,,,,,,,,,"
654,"654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
655,"655,Calculated results: Calc 1: Z' = 1 - ((3 * SD(High) + 3 * SD(Low)) / Abs(Avg(High) - Avg(Low))) where Label: Jez US LUM 384 (cps)(1) channel 1  High = Z_High  Low = Z_Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
656,"656,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,,,"
657,"657,A,0.640284404,0.640284404,,,,,,,,,,,,,,,,,,,,,0.640284404,0.640284404,,,,"
658,"658,B,0.640284404,0.640284404,,,,,,,,,,,,,,,,,,,,,0.640284404,0.640284404,,,,"
659,"659,C,0.640284404,0.640284404,,,,,,,,,,,,,,,,,,,,,0.640284404,0.640284404,,,,"
660,"660,D,0.640284404,0.640284404,,,,,,,,,,,,,,,,,,,,,0.640284404,0.640284404,,,,"
661,"661,E,0.640284404,0.640284404,,,,,,,,,,,,,,,,,,,,,0.640284404,0.640284404,,,,"
662,"662,F,0.640284404,0.640284404,,,,,,,,,,,,,,,,,,,,,0.640284404,0.640284404,,,,"
663,"663,G,0.640284404,0.640284404,,,,,,,,,,,,,,,,,,,,,0.640284404,0.640284404,,,,"
664,"664,H,0.640284404,0.640284404,,,,,,,,,,,,,,,,,,,,,0.640284404,0.640284404,,,,"
665,"665,I,0.640284404,0.640284404,,,,,,,,,,,,,,,,,,,,,0.640284404,0.640284404,,,,"
666,"666,J,0.640284404,0.640284404,,,,,,,,,,,,,,,,,,,,,0.640284404,0.640284404,,,,"
667,"667,K,0.640284404,0.640284404,,,,,,,,,,,,,,,,,,,,,0.640284404,0.640284404,,,,"
668,"668,L,0.640284404,0.640284404,,,,,,,,,,,,,,,,,,,,,0.640284404,0.640284404,,,,"
669,"669,M,0.640284404,0.640284404,,,,,,,,,,,,,,,,,,,,,0.640284404,0.640284404,,,,"
670,"670,N,0.640284404,0.640284404,,,,,,,,,,,,,,,,,,,,,0.640284404,0.640284404,,,,"
671,"671,O,0.640284404,0.640284404,,,,,,,,,,,,,,,,,,,,,0.640284404,0.640284404,,,,"
672,"672,P,0.640284404,0.640284404,,,,,,,,,,,,,,,,,,,,,0.640284404,0.640284404,,,,"
673,"673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
674,"674,Plate information ,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
675,"675,Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement date,,,,,,,,,,,,"
676,"676,13,1,H2060226,14.01,17.61,17.43,40.1,39.5,17.8,17.82,1,Jez US LUM 384 (cps)(1),0,0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0,3/30/23 18:07,,,,,,,,,,,,"
677,"677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
678,"678,Background information,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
679,"679,Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,,,,"
680,"680,13,Jez US LUM 384 (cps),0,8,0.1,00:00.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),,,,,,,,,,,,,,,,,,,,,,"
681,"681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
682,"682,Results for Jez US LUM 384 (cps)(1) - channel 0 (CPS),,,,,,,,,,,,,,,,,,,,,,,,,,,,"
683,"683,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,,,"
684,"684,A,0.18324022346368715,0.2022346368715084,0.2111731843575419,0.2201117318435754,0.21899441340782122,0.22681564245810057,0.2335195530726257,0.2346368715083799,0.2346368715083799,0.2245810055865922,0.23016759776536314,0.24804469273743016,0.24804469273743016,0.24581005586592178,0.23687150837988827,0.2324022346368715,0.25139664804469275,0.23128491620111732,0.2324022346368715,0.22905027932960895,0.2212290502793296,0.21564245810055865,0.8357541899441341,0.8592178770949721,0.0,,,"
685,"685,B,0.19217877094972066,0.21340782122905028,0.2122905027932961,0.2223463687150838,0.22346368715083798,0.23798882681564246,0.23128491620111732,0.24134078212290502,0.2424581005586592,0.2435754189944134,0.24916201117318434,0.27262569832402234,0.24134078212290502,0.24804469273743016,0.2446927374301676,0.25027932960893856,0.24134078212290502,0.24022346368715083,0.2335195530726257,0.21564245810055865,0.22905027932960895,0.21675977653631284,0.776536312849162,0.8223463687150838,0.0,,,"
686,"686,C,0.2100558659217877,0.21675977653631284,0.22346368715083798,0.2245810055865922,0.24134078212290502,0.2346368715083799,0.28268156424581004,0.2435754189944134,0.2670391061452514,0.27039106145251396,0.2670391061452514,0.2860335195530726,0.25921787709497207,0.28156424581005585,0.2536312849162011,0.264804469273743,0.2681564245810056,0.24022346368715083,0.2324022346368715,0.24581005586592178,0.23798882681564246,0.24022346368715083,0.788826815642458,0.794413407821229,0.0,,,"
687,"687,D,0.2212290502793296,0.2223463687150838,0.22346368715083798,0.2212290502793296,0.2435754189944134,0.2435754189944134,0.2536312849162011,0.2558659217877095,0.25139664804469275,0.2659217877094972,0.2536312849162011,0.27039106145251396,0.2782122905027933,0.25921787709497207,0.2770949720670391,0.26033519553072626,0.26145251396648045,0.2659217877094972,0.2324022346368715,0.2346368715083799,0.21899441340782122,0.2446927374301676,0.841340782122905,0.841340782122905,0.0,,,"
688,"688,E,0.23575418994413408,0.24022346368715083,0.22793296089385476,0.264804469273743,0.26033519553072626,0.27932960893854747,0.3106145251396648,0.2916201117318436,0.29832402234636873,0.28938547486033517,0.2759776536312849,0.3094972067039106,0.288268156424581,0.2860335195530726,0.3039106145251397,0.2670391061452514,0.28044692737430166,0.2748603351955307,0.288268156424581,0.2837988826815642,0.288268156424581,0.2748603351955307,0.9754189944134078,0.8949720670391061,0.0,,,"
689,"689,F,0.2435754189944134,0.26033519553072626,0.25251396648044694,0.2636871508379888,0.28268156424581004,0.27932960893854747,0.2927374301675978,0.2748603351955307,0.28938547486033517,0.2927374301675978,0.3016759776536313,0.29832402234636873,0.2770949720670391,0.29497206703910617,0.288268156424581,0.2994413407821229,0.29608938547486036,0.28156424581005585,0.30614525139664805,0.27262569832402234,0.27262569832402234,0.2748603351955307,0.9016759776536313,0.9698324022346368,0.0,,,"
690,"690,G,0.22793296089385476,0.2335195530726257,0.2536312849162011,0.26145251396648045,0.27932960893854747,0.24581005586592178,0.2737430167597765,0.28938547486033517,0.288268156424581,0.2770949720670391,0.2759776536312849,0.2916201117318436,0.28044692737430166,0.2770949720670391,0.26927374301675977,0.2770949720670391,0.2759776536312849,0.264804469273743,0.2670391061452514,0.27039106145251396,0.2547486033519553,0.26033519553072626,0.929608938547486,0.9854748603351955,0.0,,,"
691,"691,H,0.21452513966480447,0.2346368715083799,0.25027932960893856,0.23910614525139665,0.2547486033519553,0.2536312849162011,0.27039106145251396,0.25921787709497207,0.2871508379888268,0.2860335195530726,0.2770949720670391,0.2905027932960894,0.2837988826815642,0.2849162011173184,0.27039106145251396,0.2681564245810056,0.2905027932960894,0.2636871508379888,0.441340782122905,0.2569832402234637,0.2569832402234637,0.25139664804469275,0.9351955307262569,0.8804469273743016,0.0,,,"
692,"692,I,0.21564245810055865,0.2435754189944134,0.2223463687150838,0.24581005586592178,0.2636871508379888,0.25921787709497207,0.2446927374301676,0.2770949720670391,0.2748603351955307,0.2849162011173184,0.25251396648044694,0.2670391061452514,0.2860335195530726,0.2782122905027933,0.27150837988826815,0.2837988826815642,0.28268156424581004,0.2581005586592179,0.27150837988826815,0.2737430167597765,0.24134078212290502,0.25251396648044694,0.9597765363128492,0.9977653631284916,0.0,,,"
693,"693,J,0.21787709497206703,0.23798882681564246,0.2346368715083799,0.24022346368715083,0.25139664804469275,0.24916201117318434,0.2670391061452514,0.25921787709497207,0.25251396648044694,0.25027932960893856,0.264804469273743,0.25027932960893856,0.26145251396648045,0.27039106145251396,0.27039106145251396,0.25027932960893856,0.27932960893854747,0.2636871508379888,0.25139664804469275,0.2558659217877095,0.24134078212290502,0.2558659217877095,0.9743016759776536,0.9530726256983241,0.0,,,"
694,"694,K,0.2245810055865922,0.264804469273743,0.2558659217877095,0.25139664804469275,0.25251396648044694,0.2581005586592179,0.2759776536312849,0.27262569832402234,0.2681564245810056,0.26033519553072626,0.2636871508379888,0.2849162011173184,0.27039106145251396,0.28268156424581004,0.27150837988826815,0.2748603351955307,0.26256983240223464,0.24804469273743016,0.2558659217877095,0.26145251396648045,0.2670391061452514,0.24916201117318434,0.9675977653631285,0.9407821229050279,0.0,,,"
695,"695,L,0.2212290502793296,0.22569832402234638,0.24581005586592178,0.2446927374301676,0.25251396648044694,0.24134078212290502,0.23910614525139665,0.2424581005586592,0.2659217877094972,0.2681564245810056,0.26256983240223464,0.2547486033519553,0.2547486033519553,0.2536312849162011,0.2670391061452514,0.25139664804469275,0.2681564245810056,0.2581005586592179,0.2536312849162011,0.25251396648044694,0.24581005586592178,0.24804469273743016,0.9173184357541899,0.9553072625698324,0.0,,,"
696,"696,M,0.2223463687150838,0.22793296089385476,0.23687150837988827,0.25921787709497207,0.2748603351955307,0.2636871508379888,0.2569832402234637,0.24581005586592178,0.26145251396648045,0.26927374301675977,0.2748603351955307,0.3027932960893855,0.2659217877094972,0.2681564245810056,0.26256983240223464,0.2536312849162011,0.288268156424581,0.24692737430167597,0.2581005586592179,0.26033519553072626,0.23575418994413408,0.2547486033519553,0.9541899441340782,0.9016759776536313,0.0,,,"
697,"697,N,0.2100558659217877,0.24022346368715083,0.23016759776536314,0.23128491620111732,0.25139664804469275,0.22905027932960895,0.25027932960893856,0.2424581005586592,0.25921787709497207,0.25251396648044694,0.2435754189944134,0.25251396648044694,0.2681564245810056,0.26033519553072626,0.2558659217877095,0.23575418994413408,0.24581005586592178,0.2547486033519553,0.2547486033519553,0.24581005586592178,0.23910614525139665,0.23575418994413408,0.9407821229050279,1.0,0.0,,,"
698,"698,O,0.2324022346368715,0.24022346368715083,0.24022346368715083,0.23910614525139665,0.24692737430167597,0.25027932960893856,0.25027932960893856,0.25251396648044694,0.24692737430167597,0.2536312849162011,0.24581005586592178,0.2636871508379888,0.2558659217877095,0.2569832402234637,0.2670391061452514,0.2581005586592179,0.2581005586592179,0.2424581005586592,0.24692737430167597,0.25027932960893856,0.2346368715083799,0.2424581005586592,0.9072625698324023,0.8916201117318435,0.0,,,"
